Time resolution is 1 ps

[DEBUG] Time: 10145000 | SHAKE DOUT: 5dfc0bfb
[DEBUG] Time: 10165000 | SHAKE DOUT: 0e38ec4d
[DEBUG] Time: 10175000 | SHAKE DOUT: 6621b124
[DEBUG] Time: 10185000 | SHAKE DOUT: 7374f15d
[DEBUG] Time: 10205000 | SHAKE DOUT: ea04436b
[DEBUG] Time: 10215000 | SHAKE DOUT: 00427e81
[DEBUG] Time: 10225000 | SHAKE DOUT: 86f4de35
[DEBUG] Time: 10245000 | SHAKE DOUT: 4f514557
[DEBUG] Time: 10255000 | SHAKE DOUT: 51e848c8
[DEBUG] Time: 10265000 | SHAKE DOUT: f458931d
[DEBUG] Time: 10285000 | SHAKE DOUT: fd93d2d5
[DEBUG] Time: 10295000 | SHAKE DOUT: 092079b1
[DEBUG] Time: 10805000 | SHAKE DOUT: fbdf72b6
[DEBUG] Time: 10825000 | SHAKE DOUT: 6c548e90
[DEBUG] Time: 10835000 | SHAKE DOUT: 74eaf8f0
[DEBUG] Time: 10845000 | SHAKE DOUT: 8a6bf5b9
[DEBUG] Time: 10865000 | SHAKE DOUT: 226965f4
[DEBUG] Time: 10875000 | SHAKE DOUT: caf85a77
[DEBUG] Time: 10885000 | SHAKE DOUT: 004daa39
[DEBUG] Time: 10905000 | SHAKE DOUT: c47578bc
[DEBUG] Time: 10915000 | SHAKE DOUT: defa4f48
[DEBUG] Time: 10925000 | SHAKE DOUT: c81bc18b
[DEBUG] Time: 10945000 | SHAKE DOUT: 23ef5586
[DEBUG] Time: 10955000 | SHAKE DOUT: 20d69105
[DEBUG] Time: 10965000 | SHAKE DOUT: cb8eade4
[DEBUG] Time: 10985000 | SHAKE DOUT: 016adaf0
[DEBUG] Time: 10995000 | SHAKE DOUT: 1ff5c8bc
[DEBUG] Time: 11005000 | SHAKE DOUT: fd7540bf
[DEBUG] Time: 11025000 | SHAKE DOUT: 6c21f7a8
[DEBUG] Time: 11035000 | SHAKE DOUT: c4afb446
[DEBUG] Time: 11045000 | SHAKE DOUT: 3b87f0c6
[DEBUG] Time: 11065000 | SHAKE DOUT: 3390ae60
[DEBUG] Time: 11075000 | SHAKE DOUT: f0b50ef7
[DEBUG] Time: 11085000 | SHAKE DOUT: 9befff31
[DEBUG] Time: 11105000 | SHAKE DOUT: d2f0fb03
[DEBUG] Time: 11115000 | SHAKE DOUT: 5c7b2b26
[DEBUG] Time: 11125000 | SHAKE DOUT: e2c278e1
[DEBUG] Time: 11145000 | SHAKE DOUT: 854073f6
[DEBUG] Time: 11155000 | SHAKE DOUT: 31b06483
[DEBUG] Time: 11165000 | SHAKE DOUT: 1c3ca4f7
[DEBUG] Time: 11185000 | SHAKE DOUT: a67d29a8
[DEBUG] Time: 11195000 | SHAKE DOUT: 8ac8a906
[DEBUG] Time: 11205000 | SHAKE DOUT: 4fa5dc1f
[DEBUG] Time: 11225000 | SHAKE DOUT: c524aedf
[DEBUG] Time: 11235000 | SHAKE DOUT: c06e5294
[DEBUG] Time: 11245000 | SHAKE DOUT: 0c732fbe
[DEBUG] Time: 11765000 | SHAKE DOUT: c6eb9e67
[DEBUG] Time: 11775000 | SHAKE DOUT: 7376644a
[DEBUG] Time: 11785000 | SHAKE DOUT: 481e2c4b
[DEBUG] Time: 11805000 | SHAKE DOUT: dbed6e23
[DEBUG] Time: 11815000 | SHAKE DOUT: d41b4aad
[DEBUG] Time: 11825000 | SHAKE DOUT: ba67879d
[DEBUG] Time: 11835000 | SHAKE DOUT: 7b2e249d
[DEBUG] Time: 11845000 | SHAKE DOUT: 039ecdfe
[DEBUG] Time: 37865000 | Reading H Addr: 10
[DEBUG] Time: 37965000 | Reading H Addr: 20
[DEBUG] Time: 38065000 | Reading H Addr: 30
[DEBUG] Time: 38165000 | Reading H Addr: 40
[DEBUG] Time: 38265000 | Reading H Addr: 50
[DEBUG] Time: 38365000 | Reading H Addr: 60
[DEBUG] Time: 38465000 | Reading H Addr: 70
[DEBUG] Time: 38565000 | Reading H Addr: 80
[DEBUG] Time: 38665000 | Reading H Addr: 90
[DEBUG] Time: 38765000 | Reading H Addr: 100
[DEBUG] Time: 38865000 | Reading H Addr: 110
[DEBUG] Time: 38965000 | Reading H Addr: 120
[DEBUG] Time: 39065000 | Reading H Addr: 130
[DEBUG] Time: 39285000 | Reading H Addr: 10
[DEBUG] Time: 39385000 | Reading H Addr: 20
[DEBUG] Time: 39485000 | Reading H Addr: 30
[DEBUG] Time: 39585000 | Reading H Addr: 40
[DEBUG] Time: 39685000 | Reading H Addr: 50
[DEBUG] Time: 39785000 | Reading H Addr: 60
[DEBUG] Time: 39885000 | Reading H Addr: 70
[DEBUG] Time: 39985000 | Reading H Addr: 80
[DEBUG] Time: 40085000 | Reading H Addr: 90
[DEBUG] Time: 40185000 | Reading H Addr: 100
[DEBUG] Time: 40285000 | Reading H Addr: 110
[DEBUG] Time: 40385000 | Reading H Addr: 120
[DEBUG] Time: 40485000 | Reading H Addr: 130
[DEBUG] Time: 40705000 | Reading H Addr: 10
[DEBUG] Time: 40805000 | Reading H Addr: 20
[DEBUG] Time: 40905000 | Reading H Addr: 30
[DEBUG] Time: 41005000 | Reading H Addr: 40
[DEBUG] Time: 41105000 | Reading H Addr: 50
[DEBUG] Time: 41205000 | Reading H Addr: 60
[DEBUG] Time: 41305000 | Reading H Addr: 70
[DEBUG] Time: 41405000 | Reading H Addr: 80
[DEBUG] Time: 41505000 | Reading H Addr: 90
[DEBUG] Time: 41605000 | Reading H Addr: 100
[DEBUG] Time: 41705000 | Reading H Addr: 110
[DEBUG] Time: 41805000 | Reading H Addr: 120
[DEBUG] Time: 41905000 | Reading H Addr: 130
[DEBUG] Time: 42125000 | Reading H Addr: 10
[DEBUG] Time: 42225000 | Reading H Addr: 20
[DEBUG] Time: 42325000 | Reading H Addr: 30
[DEBUG] Time: 42425000 | Reading H Addr: 40
[DEBUG] Time: 42525000 | Reading H Addr: 50
[DEBUG] Time: 42625000 | Reading H Addr: 60
[DEBUG] Time: 42725000 | Reading H Addr: 70
[DEBUG] Time: 42825000 | Reading H Addr: 80
[DEBUG] Time: 42925000 | Reading H Addr: 90
[DEBUG] Time: 43025000 | Reading H Addr: 100
[DEBUG] Time: 43125000 | Reading H Addr: 110
[DEBUG] Time: 43225000 | Reading H Addr: 120
[DEBUG] Time: 43325000 | Reading H Addr: 130
[DEBUG] Time: 43545000 | Reading H Addr: 10
